sent_at_ms	latency_us	delay_since_due_us
1790219134408	49	49
1790219134409	54	54
1790219134410	51	51
1790219134411	56	56
1790219134412	54	54
1790219134413	52	52
1790219134414	54	54
1790219134415	51	52
1790219134416	55	55
1790219134417	52	52
1790219134418	115	115
1790219134419	57	57
1790219134420	64	64
1790219134421	59	59
1790219134422	54	54
1790219134423	57	57
1790219134424	54	54
1790219134425	56	56
1790219134426	52	52
1790219134427	57	57
1790219134428	48	48
1790219134429	75	75
1790219134430	57	57
1790219134431	53	53
1790219134432	51	51
1790219134433	57	57
1790219134434	51	51
1790219134435	59	59
1790219134436	55	55
1790219134437	53	53
1790219134438	53	53
1790219134439	64	64
1790219134440	56	56
1790219134441	52	52
1790219134442	58	58
1790219134443	55	55
1790219134444	58	58
1790219134445	54	55
1790219134446	56	56
1790219134447	53	53
1790219134448	54	54
1790219134449	52	53
1790219134450	65	65
1790219134451	58	58
1790219134452	52	52
1790219134453	54	54
1790219134454	51	51
1790219134455	57	57
1790219134456	52	52
1790219134457	58	58
1790219134458	54	54
1790219134459	52	52
1790219134460	58	58
1790219134461	54	54
1790219134462	58	58
1790219134463	53	53
1790219134464	55	55
1790219134465	53	53
1790219134466	54	54
1790219134467	51	51
1790219134468	57	57
1790219134469	49	49
1790219134470	63	63
1790219134471	55	55
1790219134472	49	49
1790219134473	54	54
1790219134474	53	53
1790219134475	59	59
1790219134476	52	52
1790219134477	55	55
1790219134478	54	54
1790219134479	57	57
1790219134480	51	51
1790219134481	56	56
1790219134482	51	51
1790219134483	55	55
1790219134484	52	52
1790219134485	55	55
1790219134486	53	53
1790219134487	53	53
1790219134488	58	58
1790219134489	53	53
1790219134490	55	55
1790219134491	54	54
1790219134492	57	57
1790219134493	54	54
1790219134494	52	52
1790219134495	52	52
1790219134496	54	54
1790219134497	54	54
1790219134498	54	54
1790219134499	57	57
1790219134500	52	52
1790219134501	51	51
1790219134502	54	54
1790219134503	53	53
1790219134504	52	52
1790219134505	57	57
1790219134506	52	52
1790219134507	55	55
1790219134508	56	56
1790219134509	54	54
1790219134510	52	52
1790219134511	52	52
1790219134512	56	56
1790219134513	51	51
1790219134514	56	56
1790219134515	51	51
1790219134516	61	61
1790219134517	51	51
1790219134518	57	57
1790219134519	116	116
1790219134520	55	55
1790219134521	51	51
1790219134522	55	55
1790219134523	55	55
1790219134524	62	62
1790219134525	60	60
1790219134526	58	58
1790219134527	54	54
1790219134528	54	54
1790219134529	53	53
1790219134530	54	54
1790219134531	53	53
1790219134532	52	52
1790219134533	52	52
1790219134534	56	56
1790219134535	51	51
1790219134536	60	60
1790219134537	61	61
1790219134538	55	55
1790219134539	52	52
1790219134540	61	61
1790219134541	51	51
1790219134542	54	54
1790219134543	56	56
1790219134544	56	56
1790219134545	53	53
1790219134546	53	53
1790219134547	58	58
1790219134548	68	68
1790219134549	76	76
1790219134550	83	83
1790219134551	60	60
1790219134552	60	60
1790219134553	51	51
1790219134554	56	56
1790219134555	53	53
1790219134556	53	53
1790219134557	53	53
1790219134558	51	51
1790219134559	57	57
1790219134560	56	56
1790219134561	48	48
1790219134562	54	54
1790219134563	69	69
1790219134564	85	85
1790219134565	51	51
1790219134566	52	52
1790219134567	65	65
1790219134568	75	75
1790219134569	56	57
1790219134570	69	69
1790219134571	73	73
1790219134572	61	61
1790219134573	66	66
1790219134574	58	58
1790219134575	54	54
1790219134576	59	59
1790219134577	54	54
1790219134578	53	53
1790219134579	56	56
1790219134580	53	53
1790219134581	57	57
1790219134582	50	50
1790219134583	54	54
1790219134584	62	62
1790219134585	55	55
1790219134586	52	52
1790219134587	55	55
1790219134588	52	52
1790219134589	55	55
1790219134590	55	55
1790219134591	53	53
1790219134592	51	51
1790219134593	57	57
1790219134594	58	58
1790219134595	59	59
1790219134596	53	53
1790219134597	59	59
1790219134598	65	65
1790219134599	58	58
1790219134600	68	68
1790219134601	57	57
1790219134602	57	57
1790219134603	54	54
1790219134604	55	55
1790219134605	58	58
1790219134606	58	58
1790219134607	53	53
1790219134608	58	58
1790219134609	58	58
1790219134610	51	51
1790219134611	54	54
1790219134612	52	52
1790219134613	55	55
1790219134614	51	51
1790219134615	58	58
1790219134616	51	51
1790219134617	52	52
1790219134618	66	66
1790219134619	62	62
1790219134620	136	136
1790219134621	66	66
1790219134622	57	57
1790219134623	56	56
1790219134624	58	58
1790219134625	53	53
1790219134626	53	53
1790219134627	52	52
1790219134628	52	52
1790219134629	59	59
1790219134630	57	57
1790219134631	52	52
1790219134632	56	56
1790219134633	56	56
1790219134634	54	54
1790219134635	54	54
1790219134636	68	68
1790219134637	250	250
1790219134638	73	73
1790219134639	57	57
1790219134640	52	52
1790219134641	61	61
1790219134642	60	60
1790219134643	60	60
1790219134644	55	55
1790219134645	56	56
1790219134646	55	55
1790219134647	54	54
1790219134648	52	52
1790219134649	56	56
1790219134650	63	63
1790219134651	51	51
1790219134652	54	54
1790219134653	54	54
1790219134654	60	60
1790219134655	52	52
1790219134656	54	54
1790219134657	54	54
1790219134658	54	54
1790219134659	56	56
1790219134660	52	52
