replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica2	2026-09-23T18:12:09.511679584Z	18529	780	572	208	0	ON	Yes	0	0
replica1	2026-09-23T18:12:09.511917209Z	18529	780	780	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:09.766871543Z	18784	785	785	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:09.766871543Z	18784	785	572	213	0	ON	Yes	0	0
replica1	2026-09-23T18:12:10.022640835Z	19040	790	790	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:10.022640793Z	19040	790	572	218	0	ON	Yes	0	0
replica2	2026-09-23T18:12:10.281653960Z	19299	794	572	222	0	ON	Yes	0	0
replica1	2026-09-23T18:12:10.282915835Z	19300	794	794	0	1	ON	Yes	1	0
replica2	2026-09-23T18:12:10.535208543Z	19553	799	572	227	0	ON	Yes	0	0
replica1	2026-09-23T18:12:10.535698043Z	19553	799	799	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:10.788101085Z	19805	804	804	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:10.788114585Z	19805	804	572	232	0	ON	Yes	0	0
replica1	2026-09-23T18:12:11.043871502Z	20061	809	809	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:11.043899043Z	20061	809	572	237	0	ON	Yes	0	0
replica1	2026-09-23T18:12:11.300955502Z	20318	814	814	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:11.301418918Z	20319	814	572	242	0	ON	Yes	0	0
replica1	2026-09-23T18:12:11.557536627Z	20575	819	819	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:11.557593294Z	20575	819	572	247	0	ON	Yes	0	0
replica2	2026-09-23T18:12:11.812898919Z	20830	824	572	252	0	ON	Yes	0	0
replica1	2026-09-23T18:12:11.813565252Z	20831	824	824	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:12.069740752Z	21087	828	572	256	0	ON	Yes	0	0
replica1	2026-09-23T18:12:12.070407086Z	21088	828	828	0	1	ON	Yes	0	0
replica1	2026-09-23T18:12:12.331232044Z	21349	833	833	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:12.331471711Z	21349	833	572	261	0	ON	Yes	0	0
replica2	2026-09-23T18:12:12.585642502Z	21603	838	572	266	0	ON	Yes	0	0
replica1	2026-09-23T18:12:12.585638711Z	21603	838	838	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:12.838795419Z	21856	843	843	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:12.838804503Z	21856	843	572	271	0	ON	Yes	0	0
replica1	2026-09-23T18:12:13.093437836Z	22111	848	848	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:13.093437753Z	22111	848	572	276	0	ON	Yes	0	0
replica1	2026-09-23T18:12:13.349792711Z	22367	853	853	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:13.349789753Z	22367	853	572	281	0	ON	Yes	0	0
replica2	2026-09-23T18:12:13.604770170Z	22622	858	572	286	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:13.604663253Z	22622	858	858	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:13.864229628Z	22882	862	862	0	0	ON	Yes	1	3
replica2	2026-09-23T18:12:13.864348545Z	22882	862	572	290	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:14.120880545Z	23138	867	572	295	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:14.122937670Z	23140	867	867	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:14.376814212Z	23394	872	572	300	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:14.376817087Z	23394	872	872	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:14.630540712Z	23648	877	877	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:14.630646503Z	23648	877	572	305	null	CONNECTING	Yes	0	0
