event	utc	mono_ms	target	seq	request_id	detail
client_ack	2026-09-23T18:14:39.844854709Z	17757	replica1	330	semisync-applier-paused-330	
client_ack	2026-09-23T18:14:39.866982834Z	17779	replica1	331	semisync-applier-paused-331	
client_ack	2026-09-23T18:14:39.889298418Z	17801	replica1	332	semisync-applier-paused-332	
client_ack	2026-09-23T18:14:39.911809668Z	17823	replica1	333	semisync-applier-paused-333	
client_ack	2026-09-23T18:14:39.934772001Z	17846	replica1	334	semisync-applier-paused-334	
client_ack	2026-09-23T18:14:39.957647835Z	17869	replica1	335	semisync-applier-paused-335	
client_ack	2026-09-23T18:14:39.980761835Z	17892	replica1	336	semisync-applier-paused-336	
client_ack	2026-09-23T18:14:40.003561793Z	17915	replica1	337	semisync-applier-paused-337	
client_ack	2026-09-23T18:14:40.025628335Z	17937	replica1	338	semisync-applier-paused-338	
client_ack	2026-09-23T18:14:40.047921585Z	17960	replica1	339	semisync-applier-paused-339	
client_ack	2026-09-23T18:14:40.070767585Z	17982	replica1	340	semisync-applier-paused-340	
client_ack	2026-09-23T18:14:40.093888126Z	18006	replica1	341	semisync-applier-paused-341	
client_ack	2026-09-23T18:14:40.116675126Z	18028	replica1	342	semisync-applier-paused-342	
client_ack	2026-09-23T18:14:40.140062793Z	18052	replica1	343	semisync-applier-paused-343	
client_ack	2026-09-23T18:14:40.163465293Z	18075	replica1	344	semisync-applier-paused-344	
client_ack	2026-09-23T18:14:40.187520251Z	18099	replica1	345	semisync-applier-paused-345	
client_ack	2026-09-23T18:14:40.210758876Z	18122	replica1	346	semisync-applier-paused-346	
client_ack	2026-09-23T18:14:40.233457835Z	18145	replica1	347	semisync-applier-paused-347	
client_ack	2026-09-23T18:14:40.256291418Z	18168	replica1	348	semisync-applier-paused-348	
client_ack	2026-09-23T18:14:40.278939085Z	18191	replica1	349	semisync-applier-paused-349	
client_ack	2026-09-23T18:14:40.301759001Z	18213	replica1	350	semisync-applier-paused-350	
client_ack	2026-09-23T18:14:40.323960460Z	18236	replica1	351	semisync-applier-paused-351	
client_ack	2026-09-23T18:14:40.346000418Z	18258	replica1	352	semisync-applier-paused-352	
client_ack	2026-09-23T18:14:40.368736751Z	18280	replica1	353	semisync-applier-paused-353	
client_ack	2026-09-23T18:14:40.390639251Z	18302	replica1	354	semisync-applier-paused-354	
client_ack	2026-09-23T18:14:40.412678751Z	18324	replica1	355	semisync-applier-paused-355	
client_ack	2026-09-23T18:14:40.435073626Z	18347	replica1	356	semisync-applier-paused-356	
client_ack	2026-09-23T18:14:40.457480085Z	18369	replica1	357	semisync-applier-paused-357	
